School Names,,Grade Levels for 15-16 school year feeder pattern,GSF (building),21CSF  sq ft,21CSF Comments about square footage,Major Project year completed,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Foundations Score,Basement Construction,Basement Score, Exterior Enclosure,Exterior Enc. Score, Roofing,Roofing Score,Interior Construction,Interior Const. Score,Stairs,Stairs Score,Interior Finishes,Interior Finishes Score,Conveying Systems,Conveying Systems Score,Plumbing,Plumbing Score,HVAC,HVAC Score,Fire Protection Systems,Fire Systems Score,Electrical Systems,Electrical Score,Site Improvements,Site Imp. Score,Site Civil/ Mechanical Utilities,Site Civil/Mech Utilities Score,Site Electrical Utilities,Electrical Utilities Score,General Requirements,Gen. Req. Score,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,,Carbon Mon. Score,Converted Average,Standardized Facility Score,Row Labels,Type of Project,Sum of Expenditures through FY 2013,Sum of Expenditures in FY 2014,Sum of Expenditures in FY 2015,Total expenditures 1998-2015,Expenditures per 21CSF Gross sq ft ,Sum of Allotments  in FY 2016,Sum of Expenditures in FY 2016,Sum of FY 2017,Sum of FY 2018,Sum of FY 2019,Sum of FY 2020,Sum of FY 2021,Total FY16 Allotted and  FY17-21 Planned  Expenditures,Total Planned and Allotted FY16-21 per 21CSF GSF,Sum of Lifetime Budget,
Shepherd,Shepherd Elementary School,ES," 	47,363 ","79,696","We have old sq. ft. at 50,721; new addition will bring total to 69,221; no portables on site",," 	15,775,668 ",0.89%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,0.25%,2.65%,1.12%,0.46%,1.22%,2013,1.40%,0.00638736817639071,5,1.50,4,SHEPHERD,FULL MOD + ADD,"$10,366,110","$6,720,106","$3,376,717","$20,462,934",$257,$0,"$1,274,389",$0,$0,$0,$0,$0,"$1,274,389",$15.99,"$31,576,280",
Simon,Simon Elementary School,ES," 	59,891 ","66,192",,," 	19,948,494 ",3.37%,Good,1,Good,1,Poor,5,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.82,1,SIMON,PARTIAL MOD,"$7,641,148","$714,288","$149,874","$8,505,311",$128,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$8,672,620",
Smothers,Smothers Elementary School,ES," 	40,746 ","43,000",,," 	13,571,678 ",1.62%,Fair,3,N/A,FALSE,Good,1,Poor,5,Fair,3,Poor,5,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,N/A,FALSE,No,1.54%,0.00%,0.04%,0.00%,1.30%,2013,0.05%,0.000843441781473254,5,2.57,4,SMOTHERS,STABILIZED,"$152,322",$0,$0,"$152,322",$4,$0,$0,$0,$0,$0,"$12,679,000",$0,"$12,679,000",$294.86,"$12,831,322",
Sousa,Sousa Middle School,MS," 	114,073 ","136,000","We have Sousa minus the unused portion (22,000) at 136,000; maybe 114,073 accounts for a closed off floor?",2008," 	37,995,435 ",1.99%,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,No,,,,,,,,,5,1.59,1,,FULL MOD,,,,$0,$0,,,,,,,,$0,$0.00,,
Stanton,Stanton Elementary School,ES," 	55,342 ","95,000","Deanna Newman provided 95,000 for the modernized Stanton in 2015.",," 	18,433,313 ",8.07%,Good,1,Good,1,Poor,5,Poor,5,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,No,,,,,,,,,5,2.00,4,STANTON,FULL MOD + ADD,$0,"$14,909,415","$8,398,524","$23,307,939",$245,$0,"$2,165,644",$0,$0,$0,$0,$0,"$2,165,644",$22.80,"$36,035,000",
Stoddert,Stoddert Elementary School,ES," 	86,625 ","65,200","Opening brochure says ""the original 17,900 sq.ft. bldg. has been complemented and completed by a 47,300 square foot addition.""   Ed Comm data (2015) gives 86,625 for Stoddert but this includes demountables. Does the 47,300 include the gym shared with Rec?",2010," 	28,853,055 ",0.01%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,2,STODDERT,FULL MOD + ADD,"$18,707,417",$0,$0,"$18,707,417",$287,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$18,707,417",
STUART HOBSON,Stuart Hobson Middle School,MS," 	110,837 ","115,242","115,242 includes new addition",2015," 	36,917,588 ",0.31%,Good,1,Good,1,Poor,5,Poor,5,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,2.00,4,STUART HOBSON,FULL MOD + ADD,"$19,369,940","$14,663,600","$10,619,726","$44,653,267",$387,$0,"$1,190,116",$0,$0,$0,$0,$0,"$1,190,116",$10.33,"$47,666,762",
Takoma,Takoma Education Campus,ES/MS," 	119,436 ","118,992",,2012," 	39,781,743 ",0.00%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,No,,,,,,,,,5,1.27,3,TAKOMA,FULL MOD,"$26,891,399",$0,"$88,199","$26,979,598",$227,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$27,036,559",
Thomas,Thomas Elementary School,ES," 	74,826 ","87,600",,," 	24,923,044 ",0.57%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,Fair,3,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.80,3,THOMAS,PARTIAL MOD,"$7,330,000","$233,320",$0,"$7,563,320",$86,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$7,572,071",
Thomson,Thomson Elementary School,ES," 	135,050 ","74,992","OPEFM has 100,000 which included parking and covered and rooftop play spaces; 74,992 came from DCPS in 2012.  74,992 may be functional square footage.",2006," 	44,982,454 ",0.00%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,No,,,,,,,,,5,1.50,3,THOMSON,FULL MOD + ADD,"$25,521,091",$0,$0,"$25,521,091",$340,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$25,521,091",
Truesdell,Truesdell Education Campus,ES/MS," 	78,964 ","69,600",,," 	26,301,329 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,No,,,,,,,,,5,1.50,1,TRUESDELL,PARTIAL MOD,"$4,465,045",$0,$0,"$4,465,045",$64,$0,$0,$0,$0,"$649,000","$6,840,000",$0,"$7,489,000",$107.60,"$11,954,045",
Tubman,Tubman Elementary School,ES," 	83,462 ","66,592",,," 	22,183,128 ",0.43%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Fair,3,No,,,,,,,,,5,1.50,2,TUBMAN,PARTIAL MOD,"$3,644,743",$0,$0,"$3,644,743",$55,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$3,644,743",
Turner,Turner Elementary School,ES," 	101,093 ","101,093","We had 77,488 but 101,093 reflects a gym addition to Turner.  Does this belong to DC Rec or DCPS?",2012," 	33,672,056 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,TURNER,FULL MOD + ADD,"$27,580,545",$0,$0,"$27,580,545",$273,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$27,695,424",
Tyler,Tyler Elementary School,ES," 	72,954 ","69,600",,," 	23,182,368 ",3.71%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.38,5,TYLER,PARTIAL MOD,"$3,750,929",$0,$0,"$3,750,929",$54,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$3,750,929",
VAN NESS,Van Ness Elementary School,ES,,"49,400",RE-OPENING 2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAN NESS,FULL MOD + ADD,$0,$0,"$10,556,642","$10,556,642",$214,"$17,995,000",$0,$0,$0,$0,$0,$0,"$17,995,000",$364.27,"$32,448,396",
W Wilson,Wilson High School,HS," 	406,854 ","376,448","check:  406,854 must include the pool - - 54,765 sq. ft. ",2011," 	135,514,930 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1.00,W WILSON,FULL MOD + ADD,"$114,246,156",$0,$0,"$114,246,156",$303,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$114,320,882",
WALKER JONES,Walker Jones Education Campus,ES/MS," 	114,942 ","95,000","Check: Forrester Const. PR says 5,000 sq ft. Library and 20,000 sq ft. recreation center, 100,000 sq. ft school.   We have Walker-Jones at 95,000.  Or is the Early Stages OSSE intake center discounted?",2009," 	38,284,881 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,5,WALKER JONES,FULL REPLACEMENT,"$40,463,443","-$21,189",$0,"$40,442,253",$426,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$40,442,253",
Washington-Metro,Washington Metropolitan High School,ALT," 	65,029 ","49,496",,," 	21,659,859 ",5.37%,Fair,3,Fair,3,Poor,5,Poor,5,Fair,3,Fair,3,Good,1,Poor,5,Good,1,Fair,3,N/A,FALSE,Poor,5,Good,1,Good,1,Fair,3,Good,1,No,,,,,,,,,5,3.00,5,WASHINGTON-METRO,STABILIZED,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,900,000","$9,900,000",$200.02,"$9,900,000",
Watkins,Watkins Elementary School,ES," 	62,970 ","69,296",,," 	20,974,048 ",6.03%,Fair,3,N/A,FALSE,Poor,5,Poor,5,Fair,3,Fair,3,Good,1,Fair,3,Good,1,Fair,3,N/A,FALSE,Good,1,Poor,5,Good,1,Fair,3,Fair,3,No,1.98%,0.73%,0.20%,0.47%,4.30%,2013,0.24%,0.0405284652829719,5,3.00,2,WATKINS,STABILIZED,$0,$0,"$2,675,972","$2,675,972",$39,"$20,549,000","-$586,022","$10,351,000",$0,$0,$0,$0,"$30,313,978",$437.46,"$39,400,200",
West,West Education Campus,ES/MS," 	91,389 ","69,642",,," 	30,439,848 ",0.03%,Fair,3,N/A,FALSE,Fair,3,Poor,5,Fair,3,Fair,3,Good,1,N/A,FALSE,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Fair,3,Good,1,Fair,3,No,0.01%,0.03%,0.01%,0.00%,0.05%,2013,0.00%,0.000152333217357722,5,2.57,2,WEST,STABILIZED,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$3,000,000","$19,257,000","$12,838,000","$35,095,000",$503.93,"$35,095,000",
Wheatley,Wheatley Education Campus,ES/MS," 	94,773 ","86,368","91,389 may reflect the expanded gym.",2009," 	31,566,991 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,1,WHEATLEY,FULL MOD + ADD,"$42,645,563",$0,$0,"$42,645,563",$494,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$42,645,768",
Whittier,Whittier Education Campus,ES/MS," 	63,516 ","71,092","71,092 probably includes the cafeteria addition.",," 	21,155,909 ",0.10%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,,WHITTIER,PARTIAL MOD + ADD,"$5,208,611",$0,$0,"$5,208,611",$73,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$5,241,031",
WILKINSON,CLOSED,NA,,"144,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILKINSON,STABILIZED,"$500,000",$0,$0,"$500,000",$3,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$500,000",
WOODSON,HD WOODSON HS,HS,,"253,406",,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODSON,FULL REPLACEMENT,"$107,674,208","$67,925",$0,"$107,742,134",$425,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$107,779,131",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,,"$3,687,866,650",,"$344,756,899","$7,925,819","$272,275,500","$122,715,375","$211,836,005","$206,164,000","$130,673,251","$1,296,346,849",,"$5,308,667,552",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
